,NDVI,rain,rodents,date
91,0.28275,3.3,139.9861852,9/15/1999
92,0.2044,0,357.853379,10/15/1999
93,0.1713,0,492.0692134,11/15/1999
94,0.15445,0,386.3292069,12/15/1999
95,0.1516,0,627.2448675,1/15/2000
96,0.1433,1.8,740.8388196,2/15/2000
97,0.137075,0.8,706.5291285,3/15/2000
98,0.1266,0,701.3737482,4/15/2000
99,0.1241,0,718.663541,5/15/2000
100,0.1288,95.3,735.9533338,6/15/2000
101,0.1733,17.8,694.1619877,7/15/2000
102,0.1599,56.3,760.1468061,8/15/2000
103,0.1578,0,654.8352148,9/15/2000
104,0.1431,114.6,635.5911833,10/15/2000
105,0.1756,58.4,616.3471518,11/15/2000
106,0.2449,0,499.7377261,12/15/2000
107,0.31,20.4,444.557485,1/15/2001
108,0.34615,10.4,317.4965298,2/15/2001
109,0.3037,7.9,561.6138423,3/15/2001
110,0.2187,10.2,495.6858423,4/15/2001
111,0.1825,6.4,686.2415103,5/15/2001
112,0.1764,5,919.0818135,6/15/2001
113,0.1886,26.6,821.429754,7/15/2001
114,0.241175,89.1,942.891394,8/15/2001
115,0.2188,7.6,806.8745836,9/15/2001
116,0.16915,5,1018.912121,10/15/2001
117,0.1645,7.6,1031.968887,11/15/2001
118,0.1559,22.8,858.7740307,12/15/2001
119,0.1477,0,691.3362468,1/15/2002
120,0.1482,30.5,793.1447528,2/15/2002
121,0.143,0,925.0996932,3/15/2002
122,0.129,0,1054.429636,4/15/2002
123,0.1284,0,1019.966572,5/15/2002
124,0.1275,0,915.9738388,6/15/2002
125,0.1327,35.5,866.1536983,7/15/2002
126,0.3564,92.8,631.9321755,8/15/2002
127,0.291075,13.6,397.7106528,9/15/2002
128,0.2179,17.8,832.5616057,10/15/2002
129,0.1777,8.9,907.9140727,11/15/2002
130,0.1597,25.4,901.1192937,12/15/2002
131,0.1471,0,734.5695742,1/15/2003
132,0.14965,14.5,1124.776718,2/15/2003
133,0.1388,8.1,1334.678149,3/15/2003
134,0.12805,0,1359.341407,4/15/2003
135,0.1395,0,1300.254515,5/15/2003
136,0.1266,0,1158.243194,6/15/2003
137,0.12975,2.1,1025.270327,7/15/2003
138,0.1441,32.5,929.5778768,8/15/2003
139,0.1394,0.8,731.4972505,9/15/2003
140,0.1295,6.4,642.9301507,10/15/2003
141,0.1355,22.8,520.3369809,11/15/2003
142,0.1309,0,532.2334255,12/15/2003
143,0.1531,12.2,489.1411925,1/15/2004
144,0.1615,19.1,542.51671,2/15/2004
145,0.2253,25.3,329.4527321,3/15/2004
146,0.1498,58.4,417.5215038,4/15/2004
147,0.1488,0,666.699243,5/15/2004
148,0.14335,0,681.8013926,6/15/2004
149,0.15025,38.9,553.3019205,7/15/2004
150,0.267,72.3,504.3575455,8/15/2004
151,0.2253,25.4,445.7605079,9/15/2004
152,0.199,0,657.3810591,10/15/2004
153,0.16325,13.9,590.7022082,11/15/2004
154,0.171,7.6,555.7142952,12/15/2004
155,0.226,59.3,566.614704,1/15/2005
156,0.2926,39.8,563.2041648,2/15/2005
157,0.3108,17.7,559.7936257,3/15/2005
158,0.20085,3.6,505.5062704,4/15/2005
159,0.173275,5.8,611.2988835,5/15/2005
160,0.1641,0,639.1589904,6/15/2005
161,0.1697,26.7,654.4171391,7/15/2005
162,0.1985,46.3,910.5665178,8/15/2005
163,0.21125,8.9,1004.362236,9/15/2005
164,0.17455,6.4,944.0531395,10/15/2005
165,0.1537,0,937.9763158,11/15/2005
166,0.202871369,0,587.3331222,12/15/2005
167,0.1113,0,619.5266203,1/15/2006
168,0.12985,0,642.9111027,2/15/2006
169,0.12395,0,561.6124134,3/15/2006
170,0.123,0,700.3776074,4/15/2006
171,0.1155,0,659.6265977,5/15/2006
172,0.12925,1.3,642.4983911,6/15/2006
173,0.1389,120.6,784.7176543,7/15/2006
174,0.3778,29,374.5830342,8/15/2006
175,0.3972,21.6,311.861574,9/15/2006
176,0.27,42.7,613.6597141,10/15/2006
177,0.2357,13.51716418,1009.148967,11/15/2006
178,0.1833,7.6,1128.835562,12/15/2006
179,0.14765,48.1,1113.131491,1/15/2007
180,0.1345,0,1329.606949,2/15/2007
181,0.138,0,1603.101566,3/15/2007
182,0.1499,0,1544.631447,4/15/2007
183,0.1531,0,1764.836718,5/15/2007
184,0.1617,22.9,2004.475388,6/15/2007
185,0.17885,94,1817.694284,7/15/2007
186,0.3937,50.7,1789.026845,8/15/2007
187,0.34155,15.3,1787.907513,9/15/2007
188,0.2578,3.8,1641.018842,10/15/2007
189,0.192221369,4.5,1627.635663,11/15/2007
190,0.163421369,20.4,1351.002776,12/15/2007
191,0.136921369,3.8,1095.530512,1/15/2008
192,0.13435,0,1217.218324,2/15/2008
193,0.1441,0,1192.25854,3/15/2008
194,0.1348,0,1393.540784,4/15/2008
195,0.1297,0,1763.063154,5/15/2008
196,0.1352,0,1452.630114,6/15/2008
197,0.1787,120.4,739.7477789,7/15/2008
198,0.3912,51.4,710.2306059,8/15/2008
199,0.30235,13.6,760.5458156,9/15/2008
200,0.20755,19.77089552,728.6477684,10/15/2008
201,0.1683,15,819.7684571,11/15/2008
202,0.14795,9.9,658.8580445,12/15/2008
203,0.1338,16,664.7919704,1/15/2009
204,0.127,7.4,667.0230169,2/15/2009
205,0.1193,12.7,698.5566221,3/15/2009
206,0.12275,0,786.7953221,4/15/2009
207,0.11775,3,832.511669,5/15/2009
208,0.13165,35,705.2103407,6/15/2009
209,0.15995,12.7,627.7926018,7/15/2009
210,0.15665,14,548.0869582,8/15/2009
211,0.153,35.75,350.9560763,9/15/2009
212,0.14485,7.95,249.5993874,10/15/2009
213,0.1408,32.55,228.8137892,11/15/2009
214,0.1339,9.05,173.41828,12/15/2009
215,0.1468,66.65,143.2442869,1/15/2010
216,0.14665,43.7,242.5996882,2/15/2010
217,0.1536,15.1,194.9146982,3/15/2010
218,0.2224,7.6,260.663936,4/15/2010
219,0.1922,0.65,280.4689882,5/15/2010
220,0.18085,12.65,276.2445587,6/15/2010
221,0.1782,55.7,272.0201292,7/15/2010
222,0.1994,65.8,376.3409568,8/15/2010
223,0.1932,30.4,480.6617843,9/15/2010
224,0.1772,2.9,378.7583752,10/15/2010
225,0.1624,0,276.854966,11/15/2010
226,0.15935,22.5,281.8416376,12/15/2010
227,0.1454,0,286.8283092,1/15/2011
228,0.140196091,4.2,209.610154,2/15/2011
229,0.136898046,1.25,244.3661303,3/15/2011
230,0.133146091,0,418.2303145,4/15/2011
231,0.135598046,0,469.3730925,5/15/2011
232,0.132696091,0.65,308.7317808,6/15/2011
233,0.1376,49.95,301.6886367,7/15/2011
234,0.2821,50,472.1013595,8/15/2011
235,0.252996091,33.8,467.9299784,9/15/2011
236,0.213,8.45,583.2849732,10/15/2011
237,0.165198046,17.25,613.0724625,11/15/2011
238,0.152446091,64.25,393.4587176,12/15/2011
239,0.143446091,5.6,466.3644888,1/15/2012
240,0.172521091,27.9,474.5564261,2/15/2012
241,0.227396091,13.15,590.6750517,3/15/2012
242,0.185696091,3.95,817.8863501,4/15/2012
243,0.155396091,10.3,988.1248767,5/15/2012
244,0.153171091,0,1018.156614,6/15/2012
245,0.199346091,40.45,1265.334673,7/15/2012
246,0.188396091,74.5,1065.989759,8/15/2012
247,0.212396091,14.9,981.328438,9/15/2012
248,0.167846091,0,913.4842839,10/15/2012
249,0.147146091,7.45,697.2046655,11/15/2012
250,0.153096091,8.7,753.1335866,12/15/2012
251,0.143796091,14.2,554.6650885,1/15/2013
252,0.135996091,7.65,581.3681939,2/15/2013
253,0.132196091,9.65,686.4178498,3/15/2013
254,0.128146091,0.5,785.2004189,4/15/2013
255,0.1274,0,857.0687049,5/15/2013
256,0.128798046,0.65,832.4056303,6/15/2013
257,0.182296091,72.4,807.7425557,7/15/2013
258,0.242971091,49.4,778.3177231,8/15/2013
259,0.281548046,42.1,748.8928906,9/15/2013
260,0.230571091,0,725.3684957,10/15/2013
261,0.1799,25.7,701.8441008,11/15/2013
262,0.163396091,15,609.2348613,12/15/2013
263,0.1443,0,761.7997827,1/15/2014
264,0.139523046,1.3,914.3647041,2/15/2014
265,0.1454,21.6,1005.295771,3/15/2014
266,0.1426,5,1163.745255,4/15/2014
267,0.136,0,1036.982567,5/15/2014
268,0.13865,0,1210.219723,6/15/2014
269,0.189096091,89.5,935.4471275,7/15/2014
270,0.367548046,91.3,1041.373718,8/15/2014
271,0.340598046,106.8,880.2950825,9/15/2014
272,0.2965,27.9,872.3369995,10/15/2014
273,0.249296091,7.6,737.1691436,11/15/2014
